USER       PID COMMAND                      MINFL
jainebu+  8036 /opt/google/chrome/nacl_hel    503
jainebu+  8039 /opt/google/chrome/chrome -    235
jainebu+  8083 /proc/self/exe --type=gpu-p  29087
jainebu+  8180 /proc/self/exe --type=gpu-p    118
root      8192 /sbin/dhclient -d -q -sf /u    436
root      8534 [kworker/0:2]                    0
jainebu+  8551 /usr/bin/gnome-calendar --g   3684
jainebu+  8665 /snap/vscode/69/usr/share/c  54189
jainebu+  8667 /snap/vscode/69/usr/share/c   3897
jainebu+  8699 /snap/vscode/69/usr/share/c  24594
jainebu+  8706 /snap/vscode/69/usr/share/c 111534
jainebu+  8728 /snap/vscode/69/usr/share/c 103985
jainebu+  8733 /snap/vscode/69/usr/share/c  16569
jainebu+  8754 /snap/vscode/69/usr/share/c  15213
jainebu+  8841 /opt/google/chrome/chrome - 209159
jainebu+  8866 python completion.py          6799
jainebu+  8869 /usr/bin/python jedi/evalua   5232
jainebu+  8904 /opt/google/chrome/chrome -  21019
jainebu+  8977 ps -eo user,pid,command,min    250
